"",finite group,finite group,"",FALSE,0677022e/08b70280,"",https://www.wikidata.org/wiki/Q1057968
"",cyclic group,cyclic group,"",FALSE,0677022e/08ba0278,"",https://www.wikidata.org/wiki/Q245462
"",Galois group,Galois group,"",FALSE,0677022e/07d70260,"",https://www.wikidata.org/wiki/Q730384
"",topological space,topological space,"",FALSE,3f1206ca,"",https://www.wikidata.org/wiki/Q179899
"",vector space,vector space,"",FALSE,1f8004c0,"",https://www.wikidata.org/wiki/Q125977
"",ring,ring,"",FALSE,044a01b1,"",https://www.wikidata.org/wiki/Q161172
"",commutative ring,commutative ring,"",FALSE,044a01b1/1c0b04af,"",https://www.wikidata.org/wiki/Q858656
"",noncommutative ring,noncommutative ring,"",FALSE,044a01b1/2cdd05fa,"",https://www.wikidata.org/wiki/Q7049224
"",module,module,"",FALSE,08eb0287,"",https://www.wikidata.org/wiki/Q18848
"",finitely generated module,finitely generated module,"",FALSE,08eb0287/44a90734,"",https://www.wikidata.org/wiki/Q1340572
"",free module,free module,"",FALSE,08eb0287/042101a3,"",https://www.wikidata.org/wiki/Q1292333
"",projective module,projective module,"",FALSE,08eb0287/1773043c,"",https://www.wikidata.org/wiki/Q942423
"",injective module,injective module,"",FALSE,08eb0287/12b903c2,"",https://www.wikidata.org/wiki/Q2716519
"",simple module,simple module,"",FALSE,08eb0287/0906028b,"",https://www.wikidata.org/wiki/Q956233
"",semisimple module,semisimple module,"",FALSE,08eb0287/175c0439,"",https://www.wikidata.org/wiki/Q1485102
"",field,field,"",FALSE,06120205,"",https://www.wikidata.org/wiki/Q190109
"",finite field,finite field,"",FALSE,06120205/08b70280,"",https://www.wikidata.org/wiki/Q603880
"",algebraically closed field,algebraically closed field,"",FALSE,06120205/533c07e7,"",https://www.wikidata.org/wiki/Q1047547
"",perfect field,perfect field,"",FALSE,06120205/0bb002ea,"",https://www.wikidata.org/wiki/Q2997817
"",category,category,"",FALSE,0ebe035f,"",https://www.wikidata.org/wiki/Q719395
"",cartesian category,cartesian category,"",FALSE,0ebe035f/129203bb,"",https://www.wikidata.org/wiki/Q18205845
"",abelian category,abelian category,"",FALSE,0ebe035f/0b0e02cd,"",https://www.wikidata.org/wiki/Q318737
"",additive category,additive category,"",FALSE,0ebe035f/0e8d034b,"",https://www.wikidata.org/wiki/Q4681343
"",complete category,complete category,"",FALSE,0ebe035f/0f13035a,"",https://www.wikidata.org/wiki/Q4370335
"",cocomplete category,cocomplete category,"",FALSE,0ebe035f/16da042c,"",https://www.wikidata.org/wiki/Q47007889
"",finitely presentable category,finitely presentable category,"",FALSE,0ebe035f/552f081a,"",""
"",locally finitely presentable category,locally finitely presentable category,"",FALSE,0ebe035f/a11d0b2a,"",""
"",model category,model category,"",FALSE,0ebe035f/06440212,"",https://www.wikidata.org/wiki/Q1941896
"",set,set,"",FALSE,029a014d,"",https://www.wikidata.org/wiki/Q36161
"",empty set,empty set,"",FALSE,029a014d/06630230,"",https://www.wikidata.org/wiki/Q226183
"",non-empty set,non-empty set,"",FALSE,029a014d/11cd03a8,"",https://www.wikidata.org/wiki/Q10533491
"",open set,open set,"",FALSE,029a014d/044801b3,"",https://www.wikidata.org/wiki/Q213363
"",closed set,closed set,"",FALSE,029a014d/08b7027b,"",https://www.wikidata.org/wiki/Q320357
"",clopen set,clopen set,"",FALSE,029a014d/08b80282,"",https://www.wikidata.org/wiki/Q320369
"",countable set,countable set,"",FALSE,029a014d/12ee03be,"",https://www.wikidata.org/wiki/Q66707394
"",uncountable set,uncountable set,"",FALSE,029a014d/1c4304a1,"",https://www.wikidata.org/wiki/Q1128796
"",infinite set,infinite set,"",FALSE,029a014d/0f030357,"",https://www.wikidata.org/wiki/Q205140
"",finite set,finite set,"",FALSE,029a014d/08b70280,"",https://www.wikidata.org/wiki/Q272404
"",definable set,definable set,"",FALSE,029a014d/1202039b,"",https://www.wikidata.org/wiki/Q2895824
"",transitive set,transitive set,"",FALSE,029a014d/17b9044a,"",https://www.wikidata.org/wiki/Q671944
"",measurable set,measurable set,"",FALSE,029a014d/16e50422,"",https://www.wikidata.org/wiki/Q3054889
"",analytic set,analytic set,"",FALSE,029a014d/0ee90356,"",https://www.wikidata.org/wiki/Q485312
"",projective set,projective set,"",FALSE,029a014d/1773043c,"",""
"",cofinal set,cofinal set,"",FALSE,029a014d/0b7002dd,"",""
"",stationary set,stationary set,"",FALSE,029a014d/17a9044f,"",https://www.wikidata.org/wiki/Q1528401
"",complementary set,complementary set,"",FALSE,029a014d/261a0581,"",""
"",manifold,manifold,"",FALSE,0ed9034b,"",https://www.wikidata.org/wiki/Q203920
"",smooth manifold,smooth manifold,"",FALSE,0ed9034b/0932029b,"",""
"",compact manifold,compact manifold,"",FALSE,0ed9034b/0b9402e8,"",""
"",connected manifold,connected manifold,"",FALSE,0ed9034b/12a103b4,"",""
"",curve,curve,"",FALSE,066f0226,"",https://www.wikidata.org/wiki/Q161973
"",surface,surface,"",FALSE,0c0a02ea,"",https://www.wikidata.org/wiki/Q484298
"",proof,proof,"",FALSE,068e0227,"",https://www.wikidata.org/wiki/Q11538
"",functor,functor,"",FALSE,0bed0302,"",https://www.wikidata.org/wiki/Q864475
"",product,product,"",FALSE,0c170302,"",https://www.wikidata.org/wiki/Q919107
"",tensor product,tensor product,"",FALSE,0c170302/0918029c,"",https://www.wikidata.org/wiki/Q1163016
"",cartesian product,cartesian product,"",FALSE,0c170302/1172039b,"",https://www.wikidata.org/wiki/Q173740
"",sum,sum,"",FALSE,02b30156,"",https://www.wikidata.org/wiki/Q218005
"",direct sum,direct sum,"",FALSE,02b30156/089c027c,"",https://www.wikidata.org/wiki/Q13582243
"",morphism,morphism,"",FALSE,0f830370,"",https://www.wikidata.org/wiki/Q1948412
"",abscissa,abscissa,"",FALSE,0ea3034a,"",https://www.wikidata.org/wiki/Q515874
"",series,series,"",FALSE,08f1028c,"",https://www.wikidata.org/wiki/Q170198
"",alternating series,alternating series,"",FALSE,08f1028c/1b8f049a,"",https://www.wikidata.org/wiki/Q438842
"",convergent series,convergent series,"",FALSE,08f1028c/172c043c,"",https://www.wikidata.org/wiki/Q1211057
"",absolutely convergent series,absolutely convergent series,"",FALSE,08f1028c/5e8108a0,"",https://www.wikidata.org/wiki/Q91134251
"",Fourier series,Fourier series,"",FALSE,08f1028c/0b1302dd,"",https://www.wikidata.org/wiki/Q179467
"",Laurent series,Laurent series,"",FALSE,08f1028c/0af102dc,"",https://www.wikidata.org/wiki/Q425432
"",Maclaurin series,Maclaurin series,"",FALSE,08f1028c/1152039d,"",https://www.wikidata.org/wiki/Q1882442
"",power series,power series,"",FALSE,08f1028c/0692022e,"",https://www.wikidata.org/wiki/Q206925
"",Taylor series,Taylor series,"",FALSE,08f1028c/085b027c,"",https://www.wikidata.org/wiki/Q131187
"",acnode,acnode,"",FALSE,086d026b,"",https://www.wikidata.org/wiki/Q844451
"",addition,addition,"",FALSE,0e88034d,"",https://www.wikidata.org/wiki/Q32043
"",adherence,adherence,"",FALSE,120b03a0,"",https://www.wikidata.org/wiki/Q320346
"",closure,closure,"",FALSE,0be302fe,"",https://www.wikidata.org/wiki/Q320346
"",adjoint,adjoint,"",FALSE,0b5f02ea,"",https://www.wikidata.org/wiki/Q357858
"",affix,affix,"",FALSE,05fe020f,"",""
"",height,height,"",FALSE,088c027a,"",https://www.wikidata.org/wiki/Q208826
"",variable,variable,"",FALSE,0eff0347,"",https://www.wikidata.org/wiki/Q50701
"",element,element,"",FALSE,0b7e02eb,"",https://www.wikidata.org/wiki/Q379825
"",neutral element,neutral element,"",FALSE,0b7e02eb/0c0402fc,"",https://www.wikidata.org/wiki/Q185813
"",inverse element,inverse element,"",FALSE,0b7e02eb/0bfd02fd,"",https://www.wikidata.org/wiki/Q338057
"",identity element,identity element,"",FALSE,0b7e02eb/0efc036b,"",https://www.wikidata.org/wiki/Q185813
"",algorithm,algorithm,"",FALSE,12b403c8,"",https://www.wikidata.org/wiki/Q8366
"",Euclidean algorithm,Euclidean algorithm,"",FALSE,12b403c8/1157038b,"",https://www.wikidata.org/wiki/Q230848
"",width,width,"",FALSE,06780221,"",https://www.wikidata.org/wiki/Q35059
"",matrix,matrix,"",FALSE,08e90296,"",https://www.wikidata.org/wiki/Q44337
"",diagonal matrix,diagonal matrix,"",FALSE,08e90296/0e840340,"",https://www.wikidata.org/wiki/Q332791
"",transpose matrix,transpose matrix,"",FALSE,08e90296/137f03e0,"",https://www.wikidata.org/wiki/Q223683
"",square matrix,square matrix,"",FALSE,08e90296/092d0292,"",https://www.wikidata.org/wiki/Q2739329
"",null matrix,null matrix,"",FALSE,08e90296/045f01bc,"",https://www.wikidata.org/wiki/Q338028
"",zero matrix,zero matrix,"",FALSE,08e90296/046e01c1,"",https://www.wikidata.org/wiki/Q338028
"",triangular matrix,triangular matrix,"",FALSE,08e90296/1766043a,"",https://www.wikidata.org/wiki/Q506265
"",maximum,maximum,"",FALSE,0be202ff,"",https://www.wikidata.org/wiki/Q10578722
"",minimum,minimum,"",FALSE,0be002fd,"",https://www.wikidata.org/wiki/Q10585806
"",logarithm,logarithm,"",FALSE,12db03c8,"",https://www.wikidata.org/wiki/Q11197
"",angle,angle,"",FALSE,06140208,"",https://www.wikidata.org/wiki/Q11352
"",adjacent angle,adjacent angle,"",FALSE,06140208/0e38033b,"",https://www.wikidata.org/wiki/Q11064478
"",supplementary angle,supplementary angle,"",FALSE,06140208/2753059a,"",https://www.wikidata.org/wiki/Q1409132
"",dihedral angle,dihedral angle,"",FALSE,06140208/0e84033e,"",https://www.wikidata.org/wiki/Q911907
"",opposite angle,opposite angle,"",FALSE,06140208/0faf0374,"",https://www.wikidata.org/wiki/Q10906396
"",inscribed angle,inscribed angle,"",FALSE,06140208/12d303b4,"",https://www.wikidata.org/wiki/Q10344427
"",obtuse angle,obtuse angle,"",FALSE,06140208/09040293,"",https://www.wikidata.org/wiki/Q2802178
"",complementary angle,complementary angle,"",FALSE,06140208/261a0581,"",https://www.wikidata.org/wiki/Q864413
"",solid angle,solid angle,"",FALSE,06140208/067a021c,"",https://www.wikidata.org/wiki/Q208476
"",trihedral angle,trihedral angle,"",FALSE,06140208/130903c0,"",""
"",central angle,central angle,"",FALSE,06140208/0b9402ea,"",https://www.wikidata.org/wiki/Q1094399
"",acute angle,acute angle,"",FALSE,06140208/06220213,"",https://www.wikidata.org/wiki/Q3250296
"",right angle,right angle,"",FALSE,06140208/065c021f,"",https://www.wikidata.org/wiki/Q210
"",symmetry,symmetry,"",FALSE,0feb038b,"",https://www.wikidata.org/wiki/Q2431134
"",multiple,multiple,"",FALSE,0fa0036d,"",https://www.wikidata.org/wiki/Q1055293
"",antilogarithm,antilogarithm,"",FALSE,260a0574,"",https://www.wikidata.org/wiki/Q577570
"",similarity,similarity,"",FALSE,17510448,"",https://www.wikidata.org/wiki/Q254465
"",apothem,apothem,"",FALSE,0bb802ef,"",https://www.wikidata.org/wiki/Q508490
"",axis,axis,"",FALSE,043501b6,"",https://www.wikidata.org/wiki/Q508490
"",coordinate axis,coordinate axis,"",FALSE,043501b6/16f20429,"",https://www.wikidata.org/wiki/Q1783819
"",real axis,real axis,"",FALSE,043501b6/042901a5,"",""
"",imaginary axis,imaginary axis,"",FALSE,043501b6/127803c2,"",""
"",argument,argument,"",FALSE,0f140364,"",https://www.wikidata.org/wiki/Q508490
"",arithmetic,arithmetic,"",FALSE,1700042b,"",https://www.wikidata.org/wiki/Q11205
"",arc,arc,"",FALSE,026d0137,"",https://www.wikidata.org/wiki/Q147572
"",asymmetry,asymmetry,"",FALSE,135503ec,"",https://www.wikidata.org/wiki/Q752641
"",asymptote,asymptote,"",FALSE,138103e7,"",https://www.wikidata.org/wiki/Q179436
